Gene Symbol,Report Type,Report PMID,Primary Disorder(s),Associated Disorder(s)
ABAT,Primary,15830322,ASD,
ABAT,Recent Recommendation,16793827,,
ABAT,Highly Cited,3092125,,
ABAT,Support,31398340,ASD,
ABAT,Support,34145886,"DD, epilepsy/seizures",
ABAT,Support,35982159,ASD,
ABAT,Support,38177409,Epilepsy/seizures,Unnamed: 4
ABAT,Highly Cited,9554704,,
ABCA10,Primary,23352160,ASD,
ABCA10,Support,35982159,ASD,
ABCA10,Support,37506195,ASD,
ABCA13,Primary,22495311,ASD,
ABCA13,Support,22542183,ASD,
ABCA13,Support,25363760,ASD,
ABCA13,Support,27679817,,
ABCA13,Recent Recommendation,29092799,,
ABCA13,Support,31398340,ASD,
ABCA13,Support,35205252,ASD,
ABCA13,Recent Recommendation,35811316,ASD,ADHD
ABCA13,Support,35813072,ASD,"ADHD, OCD"
ABCA13,Support,35982159,ASD,
ABCA13,Support,37506195,ASD,
ABCA7,Primary,24360806,ASD,
ABCA7,Support,25363768,ASD,
ABCA7,Support,31398340,ASD,
ABCA7,Support,31674007,ASD,Macrocephaly
ABCA7,Support,35982159,ASD,
ABCA7,Support,37506195,ASD,
ABCE1,Primary,31981491,ASD,
ABCE1,Support,35982159,ASD,
ABCE1,Recent Recommendation,36368308,ASD,
ABL2,Support,15987940,,
ABL2,Support,17928439,,
ABL2,Support,23365224,,
ABL2,Primary,25363768,ASD,
ABL2,Support,28263302,ASD,
ABL2,Support,28965761,ASD,
ABL2,Support,31398340,ASD,
ABL2,Support,31981491,ASD,
ABL2,Support,33622779,,
ABL2,Recent Recommendation,35294868,ASD,
ACE,Support,25363768,ASD,
ACE,Primary,27082637,ASD,
ACE,Support,31398340,ASD,
ACE,Support,35294868,ASD,
ACE,Support,35982159,ASD,
ACHE,Support,25363760,ASD,
ACHE,Support,25363768,ASD,
ACHE,Recent Recommendation,26401017,ASD,
ACHE,Primary,26402605,ASD,
ACHE,Support,31838722,ASD,
ACHE,Support,35205252,ASD,
ACHE,Support,35982159,ASD,
ACTB,Support,25052316,Baraitser-Winter syndrome 1,
ACTB,Primary,25363760,ASD,
ACTB,Support,29220674,"DD, ID",ASD
ACTB,Support,33446253,ASD,
ACTB,Support,33619735,"DD, epilepsy/seizures",
ACTB,Support,34948243,ID,
ACTB,Support,35322241,ID,
ACTB,Support,35982159,ASD,
ACTB,Support,36980980,"DD, ID",
ACTB,Support,38438125,DD,
ACTL6B,Support,26539891,"ID, epilepsy/seizures","Autistic behavior, microcephaly"
ACTL6B,Support,27171548,Rett syndrome,
ACTL6B,Support,28867142,ASD,
ACTL6B,Support,30656450,"DD, epilepsy/seizures",
ACTL6B,Primary,31031012,"DD, ID","Epilepsy/seizures, ASD or autistic features"
ACTL6B,Support,31036916,"DD, hypotonia",
ACTL6B,Support,31130284,Motor delay,"Hypertonia, GERD"
ACTL6B,Support,31134736,"DD, epilepsy/seizures",
ACTL6B,Recent Recommendation,32312822,ASD,"DD, ID, epilepsy/seizures"
ACTL6B,Support,34968013,ASD,
ACTL6B,Support,35813072,ASD,ID
ACTL6B,Support,35887114,"DD, ID",Epilepsy/seizures
ACTL6B,Support,35982159,ASD,
ACTL6B,Recent Recommendation,36792830,,
ACTN4,Support,25363768,ASD,
ACTN4,Support,25533962,Unknown diagnosis,
ACTN4,Primary,25549968,ASD,
ACTN4,Recent Recommendation,30123108,,
ACTN4,Support,35205252,ASD,
ACTN4,Support,35982159,ASD,
ACY1,Highly Cited,16465618,,
ACY1,Support,17562838,,
ACY1,Primary,20480396,Aminoacylase 1 deficiency,ASD
ACY1,Support,21414403,Aminoacylase 1 deficiency,"ID, autistic features"
ACY1,Support,24117009,Aminoacylase 1 deficiency,ID
ACY1,Support,24997716,Aminoacylase 1 deficiency,ID
ACY1,Support,29653693,Aminoacylase 1 deficiency,"ID, autistic features"
ACY1,Support,31398340,ASD,
ACY1,Support,31674007,ASD,Macrocephaly
ACY1,Support,35982159,ASD,
ACY1,Support,37506195,ASD,
ACY1,Support,37799141,"DD, iD",Unnamed: 4
ADA,Positive Association,11121182,ASD,
ADA,Primary,11354825,ASD,
ADA,Recent Recommendation,16258000,,
ADA,Positive Association,17340203,ASD,
ADA,Support,28714951,ASD,
ADA,Support,31398340,ASD,
ADA,Support,35982159,ASD,
ADA,Highly Cited,4117384,,
ADAMTS18,Primary,23356391,Early-onset severe retinal dystrophy,ASD
ADAMTS18,Support,23818446,"Microcornea, myopic chorioretinal atrophy, and tel",
ADAMTS18,Support,28392909,Childhood disintegrative disorder,
ADAMTS18,Support,29346770,ASD,
ADAMTS18,Support,31398340,ASD,
ADAMTS18,Support,35840799,ASD,
ADAMTS18,Support,35982159,ASD,
ADARB1,Primary,22869036,ASD,
ADARB1,Support,23275889,ASD,
ADARB1,Support,31452935,ASD,
ADARB1,Support,32220291,"Neurodevelopmental disorder with hypotonia, microc",
ADARB1,Support,32719099,"Neurodevelopmental disorder with hypotonia, microc","DD, ID, epilepsy/seizures"
ADARB1,Support,35982159,ASD,
ADCY3,Primary,25363760,ASD,
ADCY3,Recent Recommendation,28263302,ASD,
ADCY3,Support,35982159,ASD,
ADCY3,Support,37506195,ASD,
ADCY5,Primary,22495309,ASD,
ADCY5,Support,23160955,ASD,
ADCY5,Support,25533962,Unknown diagnosis,
ADCY5,Support,27824329,ASD,
ADCY5,Support,28333917,Movement disorder,"Ataxia, chorea, dystonia, tremor"
ADCY5,Support,28831199,ASD,
ADCY5,Support,33619735,DD,
ADCY5,Support,35205252,ASD,
ADCY5,Support,35982159,ASD,
ADCY5,Support,37492102,ASD,
ADGRL1,Primary,25363760,ASD,
ADGRL1,Support,25363768,ASD,
ADGRL1,Support,26402605,ASD,
ADGRL1,Support,30504930,ASD,
ADGRL1,Recent Recommendation,35907405,"DD, ID","ASD, ADHD, epilepsy/seizures"
ADK,Primary,21937992,ASD,
ADK,Support,28940097,"DD, epilepsy/seizures",
ADNP,Primary,22495309,ASD,
ADNP,Support,23160955,ASD,
ADNP,Recent Recommendation,24531329,Autosomal dominant mental retardation-28 (MRD28),"ASD, DD, ID, epilepsy"
ADNP,Support,25057125,Helsmoortel-Van der Aa syndrome,"DD, ADHD"
ADNP,Support,25081361,Helsmoortel-Van der Aa syndrome,"ASD, DD, ID"
ADNP,Recent Recommendation,25169753,ASD,ID
ADNP,Recent Recommendation,25178163,,
ADNP,Recent Recommendation,25363760,ASD,
ADNP,Support,25418537,ASD,
ADNP,Support,25533962,"ASD, DD, ID",
ADNP,Recent Recommendation,25646590,,
ADNP,Support,26168855,"ASD, ID",
ADNP,Recent Recommendation,26401017,ASD,
ADNP,Support,26402605,ASD,
ADNP,Support,26637798,ASD,
ADNP,Support,26845707,ASD,
ADNP,Support,27031564,Helsmoortel-Van der Aa syndrome,"ASD, DD, ID"
ADNP,Support,27479843,ID,
ADNP,Support,27525107,ASD,
ADNP,Support,27824329,ASD,
ADNP,Support,27848944,"Macrocephaly, white matter abnormalities",
ADNP,Support,28191889,"ASD, DD",
ADNP,Support,28263302,ASD,
ADNP,Support,28407407,DD,
ADNP,Support,28475273,Helsmoortel-Van der Aa syndrome,DD
ADNP,Support,28579975,Helsmoortel-Van der Aa syndrome,"ASD, DD, ID"
ADNP,Support,28708303,ID,
ADNP,Support,29286531,"DD, ID, epilepsy/seizures","Stereotypic behavior, aggressive behavior"
ADNP,Support,29424797,Helsmoortel-Van der Aa syndrome,"ASD, DD, ID"
ADNP,Support,29475819,Helsmoortel-Van der Aa syndrome,Autistic behavior
ADNP,Recent Recommendation,29724491,Helsmoortel-Van der Aa syndrome,ASD or autistic features
ADNP,Support,29780943,Helsmoortel-Van der Aa syndrome,"DD, ID"
ADNP,Support,29899371,Helsmoortel-Van der Aa syndrome,"ID, autistic features"
ADNP,Support,30107084,ID,ASD
ADNP,Support,30504930,ASD,
ADNP,Support,30555518,ASD,DD/ID
ADNP,Support,30564305,ASD,
ADNP,Support,30675382,ASD,
ADNP,Support,30679581,Helsmoortel-Van der Aa syndrome,"ASD, ID"
ADNP,Support,31029150,Helsmoortel-Van der Aa syndrome,
ADNP,Support,31038196,ASD,
ADNP,Support,31127536,"ASD, ID, Helsmoortel-van der Aa syndrome","ADHD, behavioral problems"
ADNP,Support,31130284,"ASD, epilepsy/seizures",
ADNP,Support,31406558,ASD,
ADNP,Support,31452935,ASD,
ADNP,Recent Recommendation,31664177,AD,
ADNP,Support,31981491,ASD,
ADNP,Support,32275126,Helsmoortel-Van der Aa syndrome,ASD
ADNP,Support,32714933,,
ADNP,Support,33004838,ASD,"DD, ID"
ADNP,Support,33590427,ASD,
ADNP,Support,33624935,"ASD, DD, ID",
ADNP,Support,34356170,ID,Epilepsy/seizures
ADNP,Support,34615535,ASD,
ADNP,Support,34865853,Helsmoortel-van der Aa syndrome,
ADNP,Support,35183220,ID,
ADNP,Support,35322241,ID,Epilepsy/seizures
ADNP,Support,35538192,ASD,
ADNP,Support,35571021,Epilepsy/seizures,
ADNP,Support,35775424,,
ADNP,Support,35813072,ASD,"ADHD, DD, ID"
ADNP,Support,35887114,"DD, ID",
ADNP,Support,35982159,ASD,"ADHD, SCZ, epilepsy/seizures"
ADNP,Support,36230962,Helsmoortel-van der Aa syndrome,Alzheimer's disease
