Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
ABAT,4-aminobutyrate aminotransferase,18,"GABAT, NPD009, GABA-AT, GABA transaminase",16,16p13.2,P80404,613163,The encoded protein mediates catabolism of GABA into succinic semialdehyde.,Genetic Association,"Genetic association has been found between the ABAT gene and autism in an IMGSAC cohort (Barnby et al., 2005).",8,0,,0,,15830322,"3092125,9554704",16793827,"31398340,34145886,35982159,38177409"
ABCA10,"ATP-binding cassette, sub-family A (ABC1), member 10",10349,EST698739,17,17q24.3,Q8WWZ4,612508,The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. The probable transporter encoded by this gene may play a role in macrophage lipid homeostasis.,Rare single gene variant,"A recurrent homozygous nonsense variant in the ABCA10 gene (p.Arg1322Ter) was found to segregate with ASD in two out of four multiplex families (Lim et al., 2013).",3,0,,0,,23352160,,,"35982159,37506195"
ABCA13,ATP binding cassette subfamily A member 13,154664,,7,7p12.3,Q86UQ4,607807,"In human, the ATP-binding cassette (ABC) family of transmembrane transporters has at least 48 genes and 7 gene subfamilies. This gene is a member of ABC gene subfamily A (ABCA). Genes within the ABCA family typically encode several thousand amino acids. Like other ABC transmembrane transporter proteins, this protein has 12 or more transmembrane alpha-helix domains that likely arrange to form a single central chamber with multiple substrate binding sites. It is also predicted to have two large extracellular domains and two nucleotide binding domains as is typical for ABCA proteins.",Rare single gene variant,"De novo missense variants in the ABCA13 gene have been identified in ASD probands in whole-exome sequencing studies (Neale et al., 2012; Iossifov et al., 2012; De Rubeis et al., 2014). A heterozygous deletion disrupting the ABCA13 gene was identified in a Japanese macaque that spontaneously displayed autistic traits such as impaired social ability and restricted and repetitive behaviors; no CNVs affecting ABCA13 were observed in a control group of 335 Japanese macaques (Yoshida et al., 2016). Pan-neuron-specific knockdown of a gene in Drosophila that shows high homology to human ABCA genes, including ABCA13, resulted in impaired social interactions and early onset of evening activity in adult flies, as well as an increase in satellite boutons in presynaptic terminals of motor neurons in third instar larvae (Ueoka et al., 2017).",11,0,,0,,22495311,,"29092799,35811316","22542183,25363760,27679817,31398340,35205252,35813072,35982159,37506195"
ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7",10347,"ABCA-SSN, ABCX",19,19p13.3,Q8IZY2,605414,"The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. It plays a role in phagocytosis by macrophages of apoptotic cells and may function in apolipoprotein-mediated phospholipid efflux from cells, mediate cholesterol efflux, and regulate cellular ceramide homeostasis during keratinocytes differentiation.",Rare single gene variant,"ABCA7 showed the strongest evidence of being associated with autism (OR=8.5  0.75) with all rare variant transmission disequilibrium test (RV-TDT) methods (range of p-values, 1.4E-04 to 2.9E-04) that were used to analyze exome data from 199 autism trios from the Simons Simplex Collection (He et al., 2014).",6,0,,0,,24360806,,,"25363768,31398340,31674007,35982159,37506195"
ABCE1,ATP binding cassette subfamily E member 1,6059,"ABC38, OABP, RLI, RLI1, RNASEL1, RNASELI, RNS4I",4,4q31.21,P61221,601213,"The protein encoded by this gene is a co-translational quality control factor involved in the No-Go Decay (NGD) pathway.  Together with PELO and HBS1L, this gene is required for 48S complex formation from 80S ribosomes and dissociation of vacant 80S ribosomes, recognizes stalled ribosomes, and promotes dissociation of elongation complexes assembled on non-stop mRNAs; this triggers endonucleolytic cleavage of the mRNA, a mechanism to release non-functional ribosomes and to degrade damaged mRNAs as part of the No-Go Decay (NGD) pathway.",Rare single gene variant,"Three rare and potentially damaging de novo missense variants in the ABCE1 gene have been identified in ASD probands from the Simons Simplex Collection and the SPARK cohort (Satterstrom et al., 2020; Zhou et al., 2022; Trost et al., 2022).  Transmission and de novo association (TADA) analysis of whole-exome and whole-genome sequencing data from the Autism Sequencing Consortium, the Simons Simplex Collection, the MSSNG cohort, and the SPARK cohort in Trost et al., 2022 identified ABCE1 as an ASD-associated gene with a false discovery rate (FDR) < 0.1.",3,0,,0,,31981491,,36368308,35982159
ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",27,"ABLL, ARG",1,1q25.2,P42684,164690,"This gene encodes a member of the Abelson family of nonreceptor tyrosine protein kinases. The protein is highly similar to the c-abl oncogene 1 protein, including the tyrosine kinase, SH2 and SH3 domains, and it plays a role in cytoskeletal rearrangements through its C-terminal F-actin- and microtubule-binding sequences. This gene is expressed in both normal and tumor cells, and is involved in translocation with the ets variant 6 gene in leukemia.",Functional,"Rare de novo variants in the ABL2 gene have been identified in ASD probands, including a de novo missense variant (p.Ala1099Thr) in a proband from the Simons Simplex Collection (Iossifov et al., 2014; Yuen et al., 2017; Turner et al., 2017; Satterstrom et al., 2020), while an maternally-inherited loss-of-function variant in this gene was observed in all four ASD-affected siblings from a multiplex family from the iHART cohort (Ruzzo et al., 2019).  Functional assessment of the ASD-associated p.Ala1099Thr missense variant in Drosophila using a rescue-based strategy in Macrogliese et al., 2022 demonstrated that humanized flies carrying the ABL2-p.Ala1099Thr mutation had significantly decreased lifespan compared with reference animals, indicating a reduced ability to rescue TG4 lethality that was consistent with a loss-of-function effect.  Previous studies have shown that genetic knock-out of this gene in mice resulted in synapse, dendritic spine, and dendrite arbor loss accompanied by behavioral deficits (Moresco et al., 2005; Sfakianos et al., 2007).",10,0,,0,,25363768,,35294868,"15987940,17928439,23365224,28263302,28965761,31398340,31981491,33622779"
ACE,angiotensin I converting enzyme,1636,"ACE1, CD143, DCP, DCP1, ICH, MVCD3",17,17q23.3,P12821,106180,"This gene encodes an enzyme that plays a key role in the renin-angiotensin system and is involved in catalyzing the conversion of angiotensin I into a physiologically active peptide angiotensin II, a potent vasopressor and aldosterone-stimulating peptide that controls blood pressure and fluid-electrolyte balance.",Rare single gene variant,"Association between two polymorphisms of the ACE gene thought to regulate the level of enzyme activity (the insertion/deletion polymorphism and rs4343) and autism was observed in a case-control analysis of 120 Iranian ASD cases and 120 age and sex-matched controls of Caucasin origin (Firouzabadi et al., 2016).  A de novo predicted damaging missense variant in the ACE gene (p.Tyr818Cys) was observed in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014), however this variant was also reported in dbSNP.  Functional analysis of the ASD-associated p.Tyr818Cys missense variant in Drosophila in Marcogliese et al., 2022 demonstrated a gain-of-function effect (increased lethality when overexpressed ubiquitously compared to reference protein).",5,0,,0,,27082637,,,"25363768,31398340,35294868,35982159"
ACHE,Acetylcholinesterase (Yt blood group),43,"ACEE, ARACHE, N-ACHE, YT",7,7q22.1,P22303,100740,"Acetylcholinesterase hydrolyzes the neurotransmitter acetylcholine at neuromuscular junctions and brain cholinergic synapses, and thus terminates signal transmission. Role in neuronal apoptosis.",Rare single gene variant,"This gene was identified by TADA (transmission and de novo association) analysis of a combined dataset from the Simons Simplex Collection (SSC) and the Autism Sequencing Consortium (ASC) as a gene strongly enriched for variants likely to affect ASD risk with a false discovery rate (FDR) of <0.1 (Sanders et al., 2015).",7,0,,0,,26402605,,26401017,"25363760,25363768,31838722,35205252,35982159"
ACTB,actin beta,60,"BRWS1, PS1TP5BP1",7,7p22.1,P60709,102630,"This gene encodes one of six different actin proteins. Actins are highly conserved proteins that are involved in cell motility, structure, integrity, and intercellular signaling. The encoded protein is a major constituent of the contractile apparatus and one of the two nonmuscle cytoskeletal actins that are ubiquitously expressed. Mutations in this gene cause Baraitser-Winter syndrome 1, which is characterized by intellectual disability with a distinctive facial appearance in human patients.",Syndromic,"A de novo missense variant in the ACTB gene has been identified in an ASD proband from the Autism Sequencing Consortium (De Rubeis et al., 2014).  Gain-of-function variants in the ACTB gene are associated with Baraitser-Winter syndrome 1 (BRWS; OMIM 243310), and while intellectual disability is frequently observed in individals with this syndrome (29/33 in Verloes et al., 2015), to date the prevalence of ASD or autistic features has not been examined.  Cuvertino et al., 2017 reported 33 individuals with loss-of-function variants in the ACTB gene who presented with developmental delay, apparent intellectual disability, increased frequency of internal organ malformations, growth retardation, and a recognizable facial gestalt hat was distinct from characteristics of individuals with BRWS; five individuals from this cohort presented with autism spectrum disorder.",10,0,,0,,25363760,,,"25052316,29220674,33446253,33619735,34948243,35322241,35982159,36980980,38438125"
ACTL6B,actin like 6B,51412,"ACTL6, BAF53B, arpNalpha",7,7q22.1,O94805,612458,"The protein encoded by this gene is a member of a family of actin-related proteins (ARPs) which share significant amino acid sequence identity to conventional actins. Both actins and ARPs have an actin fold, which is an ATP-binding cleft, as a common feature. The ARPs are involved in diverse cellular processes, including vesicular transport, spindle orientation, nuclear migration and chromatin remodeling. This gene encodes a subunit of the BAF (BRG1/brm-associated factor) complex in mammals, which is functionally related to SWI/SNF complex in S. cerevisiae and Drosophila; the latter is thought to facilitate transcriptional activation of specific genes by antagonizing chromatin-mediated transcriptional repression. This subunit may be involved in the regulation of genes by structural modulation of their chromatin, specifically in the brain.",Rare single gene variant,"Analysis of 135 ASD probands from consanguineous marriages recruited for the Simons Recessive Autism Cohort (SRAC) in Wenderski et al., 2000 identified six families with segregating loss-of-function variants in ACTL6B; when considering all coding genes, ACTL6B showed genome-wide significance for variants in the SRAC.  In the same report, Actl6b knockout mice on two genetic backgrounds displayed ASD-associated behaviors, including social and memory impairments, repetitive behaviors, hyperactivity, and hypoplasia of the corpus callosum.  Bell et al., 2019 had previously demonstrated that individuals harboring biallelic mutations in the ACTL6B gene presented with a neurodevelopmental disorder characterized by global developmental delay, epileptic encephalopathy, axial hypotonia, and spasticity, whereas individuals with de novo heterozygous missense variants in the same gene presented with intellectual disability, developmental delay, delayed or absent speech, ambulation deficits, hypotonia, autism or autistic features, Rett-like stereotypies such as handwringing, and minor facial dysmorphisms (wide mouth, diastema, bulbous nose).  Homozygous variants in the ACTL6B gene had previously been identified in three individuals from two families presenting with severe developmental and epileptic encephalopathy in Fichera et al., 2019, as well as in two siblings presenting with intellectual disability, seizures, and autistic behaviors (Karaca et al., 2015) and a female patient diagnosed with atypical Rett syndrome (Sajan et al., 2017).  A postzygotic mosaic coding-synonymous variant that was predicted to create a new exonic splicing site in the ACTL6B gene was observed in an ASD proband from the Simons Simplex Collection in Krupp et al., 2017.",14,0,,0,,31031012,,"32312822,36792830","26539891,27171548,28867142,30656450,31036916,31130284,31134736,34968013,35813072,35887114,35982159"
ACTN4,actinin alpha 4,81,"ACTININ-4, FSGS, FSGS1",19,19q13.2,O43707,604638,This gene encoded a F-actin cross-linking protein that is thought to anchor actin to a variety of intracellular structures.,Rare single gene variant,"This gene was originally identified as an ASD candidate gene based on its enrichment in an autism-associated protein interaction module; sequencing of post-mortem brain tissue from 25 ASD cases resulted in the identification of significant non-synonymous variants in this gene with an expected false-positive rate at 0.1, confirming the involvement of this module with autism (Li et al., 2014).",6,0,,0,,25549968,,30123108,"25363768,25533962,35205252,35982159"
ACY1,aminoacylase 1,95,"ACY-1, ACY1D",3,3p21.2,Q03154,104620,"This gene encodes a cytosolic, homodimeric, zinc-binding enzyme that catalyzes the hydrolysis of acylated L-amino acids to L-amino acids and an acyl group, and has been postulated to function in the catabolism and salvage of acylated amino acids. Mutations in this gene cause aminoacylase-1 deficiency (ACY1D) [MIM:609924], a metabolic disorder characterized by central nervous system defects and increased urinary excretion of N-acetylated amino acids.",Syndromic,"A homozyous missense variant in the ACY1 gene (c.1057C>T; p.Arg353Cys) was identified in a patient with ACY1 deficiency who was diagnosed with autistic syndrome (Tylki-Szymanska et al., 2010).  Autistic features have also been reported in other individuals with ACY1 deficiency (Sommer et al., 2011; Alessandri et al., 2018).",12,0,,0,,20480396,16465618,,"17562838,21414403,24117009,24997716,29653693,31398340,31674007,35982159,37506195,37799141"
ADA,adenosine deaminase,100,,20,20q13.12,P00813,608958,The encoded protein catalyzes the hydrolysis of adenosine to inosine.,Genetic Association,Several studies have found a genetic association between the ADA gene and autism. Positive associations have been found in Italian and North American population samples.,8,2,"11121182,17340203",0,,11354825,4117384,16258000,"28714951,31398340,35982159"
ADAMTS18,ADAM metallopeptidase with thrombospondin type 1 motif 18,170692,"ADAMTS21, KNO2, MMCAT",16,16q23.1,Q8TE60,607512,"This gene encodes a member of the ADAMTS (a disintegrin and metalloproteinase with thrombospondin motifs) protein family. ADAMTS family members share several distinct protein modules, including a propeptide region, a metalloproteinase domain, a disintegrin-like domain, and a thrombospondin type 1 (TS) motif. Individual members of this family differ in the number of C-terminal TS motifs, and some have unique C-terminal domains. The encoded preproprotein is proteolytically processed to generate the mature protein, which may regulate hemostatic balance and function as a tumor suppressor.  Homozygous mutations in this gene are responsible for microcornea with myopic chorioretinal atrophy and telecanthus (OMIM 615458).",Rare single gene variant,"A homozygous missense variant in the ADAMTS18 gene (c.3235T>C; p.Cys1079Arg) was identified in a 30-year-old male patient with severe early-onset retinal dystrophy and a diagnosis of autism; his parents and unaffected brother were heterozygous for the variant (Peluso et al., 2013).  Additional studies in this report determined that human ADAMTS18 containing the p.Cys1079Arg misssense variant failed to rescue aberrant CNS phenotype of ADAMTS18 knockout zebrafish, compared to wild-type human ADAMTS18.",7,0,,0,,23356391,,,"23818446,28392909,29346770,31398340,35840799,35982159"
ADARB1,"Adenosine deaminase, RNA-specific, B1",104,"ADAR2, DRABA2, DRADA2, RED1",21,21q22.3,P78563,601218,Editing of the messenger RNAs for glutamate receptor (GluR) subunits by site-selective adenosine deamination. Edits both the GluR-B Q/R and R/G sites efficiently but converts the adenosine in hotspot1 much less efficiently.,Functional,"A dysfunctional isoform of ADARB1, which results from alternative skipping of the exon harboring two double-stranded RNA-binding domains, was found more frequently in postmortem cerebella from individuals with autism (Eran et al., 2012). This suggests that A-to-I editing of synaptic genes by ADARB1 may be informative for assessing the epigenetic risk for ASD.",6,0,,0,,22869036,,,"23275889,31452935,32220291,32719099,35982159"
ADCY3,adenylate cyclase 3,109,"AC-III, AC3",2,2p23.3,O60266,600291,This gene encodes adenylyl cyclase 3 which is a membrane-associated enzyme and catalyzes the formation of the secondary messenger cyclic adenosine monophosphate (cAMP).,Rare single gene variant,"Three de novo missense variants in the ADCY3 gene were identified in ASD probands from the Autism Sequencing Consortium in De Rubeis et al., 2014. A fourth de novo missense variant in this gene was identified by whole genome sequencing in an ASD proband as part of the MSSNG initiative in Yuen et al., 2017. Based on the discovery of four de novo missense variants in ASD cases, a z-score > 2.0 for missense mutations, and a higher-than expected mutation rate (a false discovery rate < 15%), ADCY3 was determined to be an ASD candidate gene in Yuen et al., 2017.",4,0,,0,,25363760,,28263302,"35982159,37506195"
ADCY5,Adenylate cyclase 5,111,"AC5, FDFM",3,3q21.1,O95622,600293,"This gene encodes a member of the membrane-bound adenylyl cyclase enzymes. Adenylyl cyclases mediate G protein-coupled receptor signaling through the synthesis of the second messenger cAMP. Activity of the encoded protein is stimulated by the Gs alpha subunit of G protein-coupled receptors and is inhibited by protein kinase A, calcium and Gi alpha subunits.",Rare Single Gene variant,"De novo variants in this gene were identified in two separate reports using ASD probands from the Simons Simplex Collection (Sanders et al. 2012a, 2012b)",10,0,,0,,22495309,,,"23160955,25533962,27824329,28333917,28831199,33619735,35205252,35982159,37492102"
ADGRL1,adhesion G protein-coupled receptor L1,22859,"CIRL1, CL1, LEC2, LPHN1",19,19p13.12,O94910,616416,"Calcium-independent receptor of high affinity for alpha-latrotoxin, an excitatory neurotoxin present in black widow spider venom which triggers massive exocytosis from neurons and neuroendocrine cells. Receptor for TENM2 that mediates heterophilic synaptic cell-cell contact and postsynaptic specialization. Receptor probably implicated in the regulation of exocytosis.",Rare single gene variant,"De novo missense variants in the ADGRL1 gene were identified in two ASD probands from the Autism Sequencing Consortium in De Rubeis et al., 2014, while a rare de novo nonsense variant in this gene was identified in an ASD proband from the Study of Autism Genetics Exploration (SAGE) collection in Guo et al., 2019.  Vitobello et al., 2022 described ten individuals from 9 families with heterozygous variants in the ADGRL1 gene, including in the ASD proband originally reported in Guo et al., 2019, that presented with variable neurodevelopmental features includigng developmental delay, intellectual disability, autism spectrum disorder, ADHD, and epilepsy; ADGRL1 variants expressed in vitro in mouse neuroblastoma cells displayed abnormalities in ligand-induced regulation of intracellular calcium influx that were consistent with haploinsufficiency.  Furthermore, Vitobello et al., 2022 showed that mice carrying a heterozygous Adgrl1 null allele on a non-permissive background exhibited neurological and developmental abnormalities, whereas Agrl1 -/- mice on a permissive background demonstrated stereotypic behaviors, sexual dysfunction, bimodal extremes of locomotion, augmented startle reflex, and attenuated pre-pulse inhibition.",5,0,,0,,25363760,,35907405,"25363768,26402605,30504930"
ADK,adenosine kinase,132,AK,10,10q22.2,P55263,102750,"This gene encodes an enzyme which catalyzes the transfer of the gamma-phosphate from ATP to adenosine, thereby serving as a regulator of concentrations of both extracellular adenosine and intracellular adenine nucleotides. Adenosine has widespread effects on the cardiovascular, nervous, respiratory, and immune systems and inhibitors of the enzyme could play an important pharmacological role in increasing intravascular adenosine concentrations and acting as anti-inflammatory agents.",Rare Single Gene variant,"A rare mutation in the ADK gene has been identified with ASD (Najmabadi et al., 2011).",2,0,,0,,21937992,,,28940097
